"timestamp","state","timediff","LR0","LR1","LR2","LR3","LR4","LR5","LR6","LR7","LR8","LR9","LR10","LR11","LR12","LR13","LR14","LP0","LP1","LP2","LD","BeR0","BeR1","BeR2","BeR3","BeR4","BeR5","BeR6","BeR7","BeR8","BeP0","BeP1","BeP2","BeD","BathR0","BathR1","BathR2","BathP0","BathD"
2019-04-16 00:38:28,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:29,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:29,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:31,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:32,"sleep",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:36,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:37,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:37,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:41,"sleep",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:41,"sleep",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:45,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:46,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:47,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:49,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:51,"sleep",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:53,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:54,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:56,"sleep",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:38:59,"sleep",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:00,"sleep",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:02,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:03,"sleep",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:04,"sleep",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:08,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:10,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:11,"sleep",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:11,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:13,"sleep",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:29,"sleep",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:45,"sleep",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:39:47,"sleep",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:42:14,"sleep",190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:42:39,"sleep",211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:45:44,"sleep",394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:32,"sleep",621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:32,"sleep",621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:33,"sleep",604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:33,"sleep",620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:35,"sleep",590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:41,"sleep",594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:42,"sleep",423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:42,"sleep",448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:43,"sleep",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:43,"sleep",239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:50,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:50,"sleep",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:52,"sleep",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:52,"sleep",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:49:52,"sleep",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:50:30,"sleep",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:50:53,"sleep",71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-04-16 00:50:55,"sleep",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 00:50:55,"sleep",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 00:54:25,"sleep",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 00:54:27,"sleep",277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-16 01:05:18,"sleep",926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-16 01:05:20,"sleep",928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
