2019-04-19 01:01:54.786999,BeR7 On
2019-04-19 01:01:54.851357,BeD Off
2019-04-19 01:02:01.873577,BeR4 On
2019-04-19 01:02:03.606863,BeR8 On
2019-04-19 01:02:04.783250,BeR1 On
2019-04-19 01:02:04.846344,BeR4 Off
2019-04-19 01:02:05.467744,BeR0 On
2019-04-19 01:02:05.808699,BeR3 On
2019-04-19 01:02:06.430852,BeR8 Off
2019-04-19 01:02:07.329393,BeR1 Off
2019-04-19 01:02:08.229830,BeR0 Off
2019-04-19 01:02:08.293944,BeR3 Off
2019-04-19 01:02:13.924934,BeR3 On
2019-04-19 01:02:16.494631,BeR3 Off
2019-04-19 01:02:49.678185,BeR4 On
2019-04-19 01:02:52.526853,BeR4 Off
2019-04-19 01:02:53.424708,BeR8 On
2019-04-19 01:02:56.272905,BeR8 Off
2019-04-19 01:02:57.171742,BeR1 On
2019-04-19 01:02:59.747097,BeR1 Off
2019-04-19 01:03:02.588397,BeR0 On
2019-04-19 01:03:04.599898,BeR3 On
2019-04-19 01:03:05.221654,BeR0 Off
2019-04-19 01:03:07.234278,BeR3 Off
2019-04-19 01:04:01.849769,BeR1 On
2019-04-19 01:04:02.191238,BeR0 On
2019-04-19 01:04:02.253833,BeR4 On
2019-04-19 01:04:04.267094,BeR1 Off
2019-04-19 01:04:04.887360,BeR0 Off
2019-04-19 01:04:05.230954,BeR4 Off
2019-04-19 01:04:53.165925,BeR1 On
2019-04-19 01:04:55.735851,BeR1 Off
2019-04-19 01:05:15.561804,BeR3 On
2019-04-19 01:05:18.407788,BeR1 On
2019-04-19 01:05:18.472006,BeR3 Off
2019-04-19 01:05:19.371093,BeR4 On
2019-04-19 01:05:21.106622,BeR1 Off
2019-04-19 01:05:22.284724,BeR4 Off
2019-04-19 01:05:29.305468,BeR1 On
2019-04-19 01:05:29.368421,BeR4 On
2019-04-19 01:05:29.989558,BeR3 On
2019-04-19 01:05:30.330336,BeR0 On
2019-04-19 01:05:31.787918,BeR1 Off
2019-04-19 01:05:32.409555,BeR4 Off
2019-04-19 01:05:32.472314,BeR8 On
2019-04-19 01:05:32.816691,BeR0 Off
2019-04-19 01:05:32.880147,BeR3 Off
2019-04-19 01:05:35.172747,BeR8 Off
2019-04-19 01:07:45.215888,BeR1 On
2019-04-19 01:07:45.557635,BeR4 On
2019-04-19 01:07:47.849000,BeR1 Off
2019-04-19 01:07:48.470151,BeR4 Off
2019-04-19 01:10:51.673504,BeR1 On
2019-04-19 01:10:51.736065,BeR4 On
2019-04-19 01:10:54.306931,BeR1 Off
2019-04-19 01:10:54.369533,BeR8 On
2019-04-19 01:10:54.714270,BeR4 Off
2019-04-19 01:10:55.056543,BeR3 On
2019-04-19 01:10:57.068938,BeR8 Off
2019-04-19 01:10:57.689634,BeR3 Off
