timestamp,state
2019.04.16 00:38:27,sleep start
2019.04.16 02:07:27,sleep end
2019.04.16 02:10:58,sleep start
2019.04.16 02:22:46,sleep end
2019.04.16 02:25:41,sleep start
2019.04.16 08:26:22,sleep end
2019.04.16 08:36:09,hygiene start
2019.04.16 08:36:56,hygiene end
2019.04.16 08:38:24,cook start
2019.04.16 08:55:18,cook end
2019.04.16 08:55:35,cook start
2019.04.16 08:57:07,cook end
2019.04.16 09:01:59,cook start
2019.04.16 09:20:45,cook end
2019.04.16 09:21:00,eat start
2019.04.16 09:29:50,eat end
2019.04.16 11:06:08,toilet start
2019.04.16 11:11:43,toilet end
2019.04.16 11:12:23,bath start
2019.04.16 11:23:16,bath end
2019.04.16 11:26:07,toilet start
2019.04.16 11:32:35,toilet end
2019.04.16 11:36:58,leave start
2019.04.16 11:37:10,leave end
2019.04.16 12:02:26,enter start
2019.04.16 12:02:42,enter end
2019.04.16 12:06:21,toilet start
2019.04.16 12:11:24,toilet end
